#! Trials[f, 0]/ Decays[f, 1]/
1	2
2	4
3	1
4	2
5	2
6	1
7	3
8	4
9	6
10	3
11	2
12	4
13	0
14	1
15	2
16	4
17	1
18	3
19	1
20	1
21	4
22	3
23	2
24	4
25	6
26	2
27	2
28	3
29	0
30	0
31	1
32	2
33	1
34	3
35	0
36	1
37	4
38	3
39	0
40	3
41	1
42	2
43	4
44	2
45	4
46	5
47	2
48	3
49	3
50	2
51	2
52	1
53	4
54	9
55	1
56	4
57	1
58	0
59	4
60	2
61	0
62	1
63	4
64	5
65	2
66	4
67	3
68	1
69	1
70	1
71	1
72	6
73	3
74	3
75	1
76	3
77	2
78	2
79	4
80	8
81	0
82	1
83	1
84	2
85	2
86	4
87	1
88	1
89	0
90	5
91	1
92	4
93	4
94	2
95	1
96	3
97	2
98	2
99	1
100	2
101	1
102	2
103	1
104	0
105	4
106	1
107	3
108	2
109	2
110	4
111	4
112	1
113	2
114	1
115	2
116	3
117	2
118	1
119	4
120	4
121	1
122	4
123	2
124	4
125	2
126	3
127	1
128	1
129	5
130	1
131	3
132	0
133	6
134	4
135	4
136	3
137	0
138	2
139	0
140	4
141	6
142	3
143	4
144	2
145	0
146	3
147	2
148	6
149	6
150	1
151	5
152	3
153	3
154	1
155	3
156	1
157	0
158	1
159	2
160	3
161	2
162	2
163	0
164	2
165	2
166	2
167	2
168	2
169	2
170	1
171	2
172	4
173	0
174	3
175	3
176	5
177	0
178	5
179	1
180	3
181	4
182	3
183	4
184	0
185	3
186	1
187	1	
188	2
189	2
190	3
191	2
192	0
193	2
194	3
195	1
196	4
197	2
198	2
199	1
200	3
