#! Trials[f, 0]/ Decays[f, 1]/
1	124
2	125
3	162
4	139
5	138
6	147
7	138
8	127
9	144
10	111
11	132
12	109
13	106
14	134
15	108
16	112
17	102
18	130
19	134
20	124
21	110
22	134
23	116
24	127
25	129
26	117
27	106
28	121
29	110
30	128
31	89
32	112
33	122
34	120
35	118
36	128
37	139
38	131
39	128
40	120
41	121
42	114
43	128
44	119
45	134
46	102
47	113
48	129
49	139
50	119
51	147
52	119
53	103
54	114
55	132
56	116
57	129
58	145
59	115
60	112
61	144
62	107
63	123
64	118
65	134
66	130
67	107
68	122
69	125
70	124
71	126
72	117
73	132
74	122
75	110
76	124
77	103
78	120
79	122
80	130
81	124
82	105
83	106
84	124
85	109
86	129
87	126
88	128
89	121
90	123
91	145
92	120
93	112	
94	106
95	108
96	146
97	120
98	131
99	132
100	135
101	132
102	112
103	139
104	127
105	129
106	109
107	127
108	129
109	129
110	147
111	125
112	121
113	125
114	119
115	106
116	130
117	134
118	129
119	112
120	130
121	87
122	128
123	107
124	123
125	135
126	132
127	119
128	139
129	131
130	128
131	137
132	126
133	112
134	112
135	115
136	108
137	113
138	112
139	110
140	134
141	132
142	140
143	120
144	113
145	113
146	129
147	121
148	142
149	133
150	118
151	125
152	134
153	131
154	106
155	137
156	125
157	129
158	122
159	123
160	138
161	118
162	123
163	137
164	107
165	114
166	122
167	106
168	141
169	117
170	114
171	133
172	123
173	114
174	113
175	130
176	107
177	113
178	129
179	100
180	111
181	126
182	109
183	135
184	122
185	98
186	117
187	110
188	109
189	115
190	132
191	121
192	117
193	104
194	135
195	125
196	129
197	113
198	131
199	104
200	131
